Open,High,Low,Close,Adj Close,Volume
0.084,0.078,0.073,0.072,0.07,0.214
0.073,0.067,0.061,0.069,0.067,0.1791
0.058,0.055,0.043,0.042,0.041,0.2863
0.048,0.044,0.042,0.044,0.043,0.1566
0.038,0.041,0.041,0.047,0.046,0.1554
0.053,0.055,0.053,0.063,0.061,0.151
0.051,0.046,0.049,0.047,0.045,0.2787
0.047,0.06,0.053,0.066,0.064,0.2208
0.075,0.077,0.07,0.068,0.066,0.3489
0.065,0.061,0.06,0.061,0.059,0.1427
0.056,0.051,0.05,0.05,0.048,0.0823
0.054,0.049,0.052,0.055,0.053,0.1398
0.057,0.066,0.057,0.074,0.072,0.1581
0.058,0.065,0.061,0.072,0.07,0.2095
0.073,0.073,0.071,0.068,0.066,0.2255
0.067,0.061,0.056,0.055,0.053,0.2281
0.049,0.047,0.047,0.053,0.051,0.0604
0.053,0.054,0.054,0.057,0.055,0.0893
0.046,0.043,0.042,0.04,0.039,0.1728
0.046,0.042,0.04,0.038,0.037,0.1177
0.036,0.03,0.021,0.021,0.02,0.4164
0.017,0.013,0.01,0.011,0.01,0.2007
0.011,0.01,0.001,0.016,0.015,0.2465
0.013,0.011,0.017,0.018,0.017,0.092
0.011,0.012,0.017,0.021,0.021,0.0792
0.021,0.018,0.021,0.023,0.022,0.0722
0.02,0.015,0.021,0.024,0.023,0.1122
0.02,0.014,0.02,0.018,0.018,0.0842
0.022,0.018,0.022,0.021,0.02,0.0989
0.021,0.019,0.022,0.019,0.019,0.1274
0.016,0.013,0.0,0.0,0.0,0.2759
0.001,0.0,0.001,0.0,0.0,0.1959
0.0,0.014,0.003,0.022,0.021,0.2816
0.018,0.015,0.02,0.019,0.019,0.1464
0.013,0.015,0.017,0.02,0.019,0.1605
0.03,0.03,0.033,0.035,0.034,0.1243
0.042,0.055,0.045,0.061,0.059,0.3044
0.059,0.06,0.06,0.063,0.061,0.2227
0.06,0.057,0.056,0.063,0.061,0.1936
0.062,0.068,0.067,0.073,0.071,0.2051
0.071,0.068,0.065,0.066,0.063,0.0797
0.065,0.059,0.057,0.062,0.06,0.157
0.06,0.06,0.06,0.064,0.062,0.0788
0.062,0.061,0.067,0.066,0.064,0.1121
0.082,0.089,0.08,0.095,0.092,0.3202
0.099,0.122,0.105,0.131,0.126,0.2674
0.123,0.126,0.129,0.135,0.131,0.191
0.126,0.124,0.128,0.133,0.129,0.0894
0.116,0.116,0.116,0.117,0.113,0.056
0.113,0.12,0.117,0.125,0.121,0.0931
0.133,0.135,0.129,0.141,0.136,0.2117
0.137,0.133,0.138,0.14,0.136,0.1284
0.146,0.146,0.147,0.155,0.15,0.0895
0.147,0.149,0.148,0.157,0.152,0.0945
0.147,0.15,0.153,0.157,0.152,0.0635
0.147,0.15,0.149,0.158,0.153,0.064
0.154,0.148,0.15,0.152,0.147,0.0742
0.147,0.145,0.15,0.155,0.15,0.0211
0.153,0.153,0.154,0.155,0.15,0.1238
0.152,0.148,0.155,0.156,0.151,0.2321
0.153,0.153,0.158,0.158,0.153,0.2398
0.131,0.14,0.127,0.146,0.141,0.4242
0.16,0.157,0.144,0.143,0.139,0.2688
0.149,0.171,0.156,0.172,0.166,0.2197
0.161,0.161,0.165,0.167,0.161,0.0572
0.159,0.156,0.158,0.165,0.16,0.0299
0.151,0.15,0.155,0.158,0.153,0.0403
0.154,0.152,0.156,0.157,0.152,0.0374
0.149,0.151,0.154,0.16,0.155,0.0733
0.16,0.169,0.162,0.176,0.17,0.1669
0.169,0.163,0.16,0.16,0.155,0.1096
0.161,0.155,0.156,0.159,0.154,0.0266
0.156,0.15,0.153,0.154,0.149,0.0157
0.149,0.146,0.15,0.152,0.147,0.0815
0.154,0.148,0.152,0.15,0.145,0.0655
0.15,0.148,0.152,0.157,0.152,0.0749
0.151,0.149,0.154,0.156,0.151,0.0401
0.172,0.167,0.168,0.173,0.168,0.1363
0.163,0.164,0.168,0.167,0.162,0.0857
0.169,0.166,0.171,0.172,0.167,0.1852
0.174,0.18,0.176,0.185,0.179,0.1524
0.179,0.175,0.178,0.176,0.17,0.0599
0.175,0.185,0.18,0.192,0.186,0.1315
0.195,0.192,0.167,0.167,0.162,0.19
0.167,0.168,0.172,0.173,0.167,0.1715
0.167,0.174,0.174,0.177,0.171,0.1963
0.172,0.167,0.167,0.175,0.169,0.106
0.162,0.192,0.167,0.196,0.19,0.2408
0.186,0.183,0.186,0.19,0.184,0.042
0.186,0.184,0.183,0.187,0.181,0.054
0.19,0.191,0.193,0.194,0.188,0.1739
0.186,0.197,0.189,0.205,0.199,0.181
0.201,0.207,0.205,0.213,0.206,0.2417
0.209,0.208,0.213,0.215,0.208,0.1065
0.209,0.204,0.213,0.211,0.205,0.0972
0.205,0.206,0.211,0.215,0.208,0.074
0.21,0.214,0.215,0.222,0.215,0.0628
0.217,0.214,0.217,0.222,0.215,0.1183
0.218,0.217,0.223,0.226,0.219,0.0824
0.222,0.222,0.225,0.23,0.222,0.0798
0.226,0.223,0.231,0.23,0.223,0.0855
0.236,0.23,0.235,0.239,0.232,0.0472
0.232,0.232,0.235,0.241,0.234,0.1084
0.241,0.236,0.24,0.241,0.234,0.1152
0.245,0.239,0.236,0.234,0.226,0.1492
0.246,0.244,0.234,0.232,0.224,0.1309
0.26,0.258,0.263,0.265,0.257,0.2007
0.263,0.264,0.269,0.272,0.263,0.1786
0.277,0.277,0.278,0.278,0.269,0.2974
0.275,0.272,0.269,0.267,0.258,0.161
0.261,0.26,0.264,0.261,0.253,0.1536
0.265,0.26,0.26,0.269,0.261,0.1236
0.265,0.276,0.272,0.284,0.275,0.1839
0.275,0.275,0.279,0.284,0.275,0.0885
0.277,0.279,0.28,0.286,0.277,0.1402
0.281,0.288,0.283,0.298,0.289,0.107
0.291,0.288,0.292,0.298,0.289,0.1355
0.291,0.295,0.293,0.305,0.295,0.1581
0.297,0.305,0.305,0.312,0.303,0.0684
0.306,0.304,0.311,0.314,0.304,0.1272
0.31,0.313,0.314,0.322,0.312,0.0532
0.318,0.324,0.326,0.334,0.323,0.0419
0.334,0.334,0.337,0.338,0.328,0.1118
0.33,0.331,0.324,0.323,0.313,0.0904
0.315,0.319,0.303,0.327,0.317,0.1094
0.323,0.318,0.319,0.326,0.316,0.1125
0.319,0.319,0.323,0.328,0.318,0.1026
0.323,0.317,0.314,0.316,0.306,0.1076
0.312,0.314,0.319,0.324,0.314,0.0605
0.332,0.347,0.334,0.352,0.34,0.1685
0.351,0.345,0.35,0.35,0.339,0.082
0.345,0.345,0.351,0.354,0.342,0.0296
0.356,0.356,0.362,0.366,0.354,0.1041
0.361,0.359,0.362,0.366,0.354,0.0783
0.361,0.362,0.364,0.363,0.352,0.0477
0.362,0.356,0.36,0.359,0.348,0.0903
0.356,0.362,0.359,0.371,0.36,0.0412
0.367,0.37,0.372,0.376,0.364,0.1099
0.37,0.372,0.371,0.371,0.359,0.06
0.37,0.373,0.375,0.378,0.366,0.1131
0.371,0.368,0.354,0.363,0.352,0.0869
0.364,0.376,0.373,0.382,0.37,0.2044
0.375,0.381,0.38,0.385,0.373,0.2452
0.375,0.372,0.374,0.377,0.365,0.0558
0.372,0.374,0.376,0.376,0.364,0.3122
0.381,0.376,0.381,0.382,0.37,0.1046
0.376,0.374,0.38,0.381,0.369,0.0491
0.383,0.378,0.367,0.37,0.359,0.2833
0.375,0.369,0.367,0.364,0.353,0.1969
0.359,0.357,0.359,0.36,0.349,0.2035
0.363,0.359,0.361,0.368,0.357,0.1007
0.357,0.354,0.354,0.354,0.349,0.1415
0.351,0.361,0.358,0.37,0.365,0.1195
0.368,0.362,0.345,0.344,0.339,0.1018
0.347,0.348,0.34,0.355,0.35,0.1679
0.358,0.36,0.36,0.367,0.362,0.0778
0.357,0.362,0.36,0.369,0.364,0.0892
0.362,0.361,0.361,0.359,0.354,0.0865
0.362,0.361,0.363,0.368,0.363,0.0519
0.366,0.367,0.373,0.373,0.367,0.0493
0.37,0.367,0.367,0.373,0.368,0.0974
0.374,0.385,0.381,0.392,0.386,0.0556
0.386,0.387,0.392,0.396,0.39,0.0309
0.389,0.397,0.396,0.405,0.398,0.0883
0.4,0.396,0.403,0.401,0.395,0.0326
0.393,0.397,0.4,0.404,0.398,0.031
0.404,0.403,0.406,0.413,0.407,0.0712
